"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 13 23:16:11 PKT 2023","Fri Jan 13 23:16:14 PKT 2023","3353","","my second test","","","","check base url",""
"skipped","Fri Jan 13 23:16:11 PKT 2023","Fri Jan 13 23:16:11 PKT 2023","1","","my first test suite","","","","checks body of the json",""
"skipped","Fri Jan 13 23:16:11 PKT 2023","Fri Jan 13 23:16:11 PKT 2023","1","","my first test suite","","","","checks email address",""
"skipped","Fri Jan 13 23:16:11 PKT 2023","Fri Jan 13 23:16:11 PKT 2023","7","","my first test suite","","","","Check data",""
